JobRefNo,DigerPozisyon,Qualifications,sub-classification
3412324,Şef Garson,"<p>VELOUR RESORT RESTAURANT & SPA EKİBİMİZ İÇİN;</p><p>-GENEL İŞLEYİŞ DÜZENİ BİLGİSİNE SAHİP</p><p>-GIDA GÜVENLİĞİ VE HİJYEN KURALLARINA HAKİM</p><p>-KİŞİSEL BAKIMINA ÖZEN GÖSTEREN, DİKSİYON VE İLETİŞİM KONUSUNDA İYİ,DİNAMİK</p><p>-HİZMET SUNUM KALİTESİNE ÖNEM VEREN,SORUMLULUK DUYGUSU YÜKSEK, TEMSİL YETENEĞİ KUVVETLİ VE MİSAFİR MEMNUNİYETİ BİLİNCİNE SAHİP EKİP ARKADAŞI ARAMAKTAYIZ.</p><p><br></p>",Restoran Hizmetleri
3412295,Temizlik Hizmetleri Sorumlusu,"<p class=""x_MsoListParagraphCxSpFirst""><strong>Odaların ve koridorların temizliği:</strong> Temizlikçi, klinikteki odaları ve koridorları</p><p class=""x_MsoListParagraphCxSpFirst"">temizlemek, toz almak, zeminleri süpürmek ve/veya paspaslamak, camları</p><p class=""x_MsoListParagraphCxSpFirst"">temizlemek, mobilyaları silmek, çöpleri boşaltmak gibi işlemleri gerçekleştirir.</p><p class=""x_MsoListParagraphCxSpFirst""><strong><br></strong></p><p class=""x_MsoListParagraphCxSpFirst""><strong>Hijyenik durumun korunması:</strong> Temizlikçi, klinikteki yüzeylerin ve ekipmanların</p><p class=""x_MsoListParagraphCxSpFirst"">hijyenik durumunu korumak için, uygun temizlik malzemeleri kullanır ve bu</p><p class=""x_MsoListParagraphCxSpFirst"">malzemeleri uygun şekilde depolar.</p><p class=""x_MsoListParagraphCxSpMiddle""><strong><br></strong></p><p class=""x_MsoListParagraphCxSpMiddle""><strong>Lavabo ve tuvalet temizliği:</strong> Temizlikçi, klinikteki lavabo ve tuvaletleri temizler,</p><p class=""x_MsoListParagraphCxSpMiddle"">temizlik malzemelerinin daima uygun bir şekilde stoklandığından emin olur.</p><p class=""x_MsoNormal""><strong><br></strong></p><p class=""x_MsoNormal""><strong>Çamaşır yıkama:</strong> Temizlikçi, klinikteki çamaşırları toplar, yıkar ve kurutur. Bu işlemde çamaşır makinesi, kurutma makinesi ve diğer ekipmanları kullanır.</p><p class=""x_MsoNormal""><strong><br></strong></p><p class=""x_MsoNormal""><strong>Çay ve kahve hazırlama:</strong> Temizlikçi, klinik personeli ve ziyaretçileri için çay ve kahve</p><p class=""x_MsoNormal"">hazırlar ve dağıtır.</p><p class=""x_MsoNormal""><strong><br></strong></p><p class=""x_MsoNormal""><strong>Stok takibi:</strong> Temizlikçi, klinikte kullanılan temizlik malzemelerinin stokunu takip eder</p><p class=""x_MsoNormal"">ve ihtiyaç halinde malzeme siparişi verir.</p><p class=""x_MsoNormal""><strong><br></strong></p><p class=""x_MsoNormal""><strong>Yardımcı işler: </strong>Temizlikçi, gerektiğinde diğer personellere yardımcı olabilir ve farklı</p><p class=""x_MsoNormal"">departmanlarda çalışan personel ile iletişim kurabilir.</p><p class=""x_MsoListParagraphCxSpLast""></p><p class=""x_MsoNormal"">&nbsp;</p><p class=""x_MsoNormal"">Temizlikçilerde aranan bazı nitelikler ise şunlardır:</p><p class=""x_MsoNormal"">&nbsp;</p><p class=""x_MsoListParagraphCxSpFirst"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Dikkatli ve titiz olma</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; İletişim ve ekip çalışması becerileri</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Zaman yönetimi becerileri</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Fiziksel olarak güçlü olma</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Hijyen kurallarına uygun hareket etme</p><p class=""x_MsoListParagraphCxSpLast"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Temizlik ekipmanlarını ve malzemelerini doğru bir şekilde kullanabilme</p>",Temizlik Hizmetleri
3412290,Alakart Şef,<p>Alakart Şef olarak uzman veya öğrenmeye açık kişilere ihtiyacımız var. Hazırlık aşamasında destek olabilecek yeniliğe açık iş geliştirmede etkili olacak adaylar bekliyoruz.</p>,Restoran Hizmetleri
3412281,Spa Terapisti,"<p class=""x_MsoNormal"">Spa – Masaj Terapisti </p><ul type=""disc""><li class=""x_MsoNormal"">Masaj terapileri&nbsp;özellikle Medikal Masaj ve Lenf drenaj konusunda en az 3 yıl tecrübeli,</li><li class=""x_MsoNormal"">Masaj alanında gerekli sertifikaları ve izinleri bulunan,</li><li class=""x_MsoNormal"">Esnek çalışma saatlerine uyum gösterebilecek,&nbsp; </li><li class=""x_MsoNormal"">Kişisel bakım ve dış görünümüne özen gösteren, </li><li class=""x_MsoNormal"">Müşteri memnuniyeti odaklı çalışma prensibine sahip, </li><li class=""x_MsoNormal"">İletişim ve ikna becerileri kuvvetli, takım çalışmasına yatkın adaylar aranmaktadır.</li></ul><p class=""x_MsoNormal"">İş Tanımı:</p><ul type=""disc""><li class=""x_MsoNormal"">Misafirleri masaj terapilerinin içerikleri ve terapiler esnasında kullanılan ürünlerle ilgili bilgilendirmek,</li><li class=""x_MsoNormal"">Misafirlerin tercih, ihtiyaç ve detoks programları doğrultusunda masaj uygulamasını gerçekleştirmek,</li><li class=""x_MsoNormal"">Terapiler esnasında kullanılan ürünlerin sunumunu yapmak ve satışları gerçekleştirmek,</li><li class=""x_MsoNormal"">Sauna hizmetlerine yardımcı olmak. </li><li class=""x_MsoNormal"">Şirket bünyesinde verilecek olan eğitimlere katılmak ve sürekli gelişime açık olmak.</li></ul><p></p><p class=""x_MsoNormal"">&nbsp;</p>",Masaj / Spa Hizmetleri
3412275,Çay Servis ve Temizlik Elemanı,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p>İş yerimizde görevlendirilmek üzere aşağıda belirtilen niteliklere uygun&nbsp;ÇAY&nbsp; SERVİS VE TEMİZLİK PERSONELİ&nbsp;aranmaktadır.</p><p>Aranan Nitelikler :</p><p>Çalışmayı seven, temizliğe ve hijyene önem veren,</p><p>Çalışma disiplini bulunan,</p><p>İletişimi güçlü, güler yüzlü, titiz</p><p>&nbsp;görünümüne özen gösteren,</p><p>tercihen etimesgut, bağlıca, sincan bölgerinde ikamet eden&nbsp;</p><p>çalışma arkadaşı arıyoruz&nbsp;</p><p><strong>İş Tanımı :</strong></p><p>Günlük iş yerinin temizliğinin yapılması,&nbsp;</p><p>Çay ve kahve servisinin yapılması</p><p>Gelen yemek servisinin yapılması ve ardından düzenli olarak mutfağın temizlenmesi</p><p>Periyodik olarak, tuvaletler, mutfak ve diğer ortak alanların temizlik işlerinin ve ofislerin temizliğinin yapılması.</p><p><br></p>",Yiyecek / İçecek Servisi
3412266,Çay Servis ve Temizlik Elemanı,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p>Cadde Mağazamızda görevlendirilmek üzere aşağıda belirtilen niteliklere uygun&nbsp;ÇAY&nbsp; SERVİS VE TEMİZLİK PERSONELİ&nbsp;aranmaktadır.</p><p>Aranan Nitelikler :</p><p>Çalışmayı seven, temizliğe ve hijyene önem veren,</p><p>Çalışma disiplini bulunan,</p><p>İletişimi güçlü, güler yüzlü, dinamik,</p><p>Hijyen konusunda duyarlı ve görünümüne özen gösteren,</p><p>Dinamik, titiz, sorumluluk sahibi, pratik</p><p>İş Tanımı :</p><p>Günlük mağaza temizliği, ikram ve genel düzenden sorumlu,</p><p>Çay ve kahve ikram servisi,</p><p>Gelen müşterilerin ağırlanması,</p><p>Mağaza ve ofis içi , prova odalar, tuvaletler, mutfak ve diğer ortak alanların periyodik temizlik işlerinin ilgili çalışma talimatına uygun olarak yapılması.</p><p>Organizasyon yapılacak olan alanda olması gereken tertip, düzen ve temizliğin sağlanması.</p>",Yiyecek / İçecek Servisi
3412222,Aşçıbaşı,"<p>VELOUR RESORT RESTAURANT &amp; SPA VİZYONUNA UYGUN,ALANINDA DENEYİMLİ VE AŞAĞIDAKİ NİTELİKLERE UYGUN AŞÇI VE AŞÇI YARDIMCISI ARIYORUZ.</p><p>-TERCİHEN GASTRONOMİ VEYA AŞÇILIK MEZUNU</p><p>-EN AZ 1 YIL DÜNYA MUTFAĞI TECRÜBESİNE SAHİP</p><p>-GIDA GÜVENLİĞİ VE HİJYEN KONULARINDA BİLGİLİ</p><p>-EKİP ÇALIŞMASINA UYUM SAĞLAYABİLECEK, STANDARTLARA UYGUN ÜRÜN HAZIRLAYABİLECEK</p><p>-İNSAN İLİŞKİLERİNDE BAŞARILI VE MÜŞTERİ MEMNUNİYETİNE ÖNEM VEREN</p><p>-SORUMLULUK SAHİBİ VE KENDİNE GÜVENEN</p><p>-ESNEK ÇALIŞMA SAATLERİNE UYUMLU</p>",Aşçılık
3412217,Bulaşıkçı,"<p>TİTİZ VE HİJYENE ÖNEM VEREN</p><p>MİSAFİR MEMNUNİYETİ ODAKLI ÇALIŞAN</p><p>KİMYASAL KULLANIMI HAKKINDA BİLGİ SAHİBİ OLAN</p><p>DIŞ GÖRÜNÜMÜNE VE KİŞİSEL HİJYENE ÖNEM VEREN</p><p>PLANLI, DİKKATLİ VE ORGANİZE ÇALIŞABİLECEK</p><p>YOĞUN İŞ TEMPOSUNA VE ESNEK ÇALIŞMA SAATLERİNE UYUM SAĞLAYABİLECEK BULAŞIKÇI İHTİYACIMIZ BULUNMAKTADIR.</p>",Mutfak Hizmetleri
3412213,Garson,"<p>VELOUR RESORT RESTAURANT & SPA VİZYONUNA VE KİŞİSEL YETENEKLERİNE KATKI SAĞLAMAK İSTEYEN AŞAĞIDA BELİRTİLMİŞ NİTELİKLERE UYGUN “ GARSON-KOMİ-HOSTES ARAYIŞIMIZ BULUNMAKTADIR.</p><p>-TERCİHEN TURİZM OTELCİLİK MEZUNU</p><p>-SERVİS VE SUNUM BİLGİSİNE SAHİP</p><p>-İLETİŞİMİ KUVVETLİ, TAKIM ÇALIŞMASINA YATKIN</p><p>-DİKSİYONU DÜZGÜN, DIŞ GÖRÜNÜMÜNE ÖZEN GÖSTEREN</p><p>-DİNAMİK, YOĞUN İŞ TEMPOSUNA UYUM SAĞLAYABİLEN</p><p>-ERKEK ADAYLAR İÇİN ASKERLİK HİZMETİNİ TAMAMLAMIŞ</p>",Restoran Hizmetleri
3412187,Sous Chef / Breakfast Restaurant,"<p class=""x_MsoNormal"">Sunset Hospitality Group has become a leading hospitality management group with a global presence across 10 countries with over 23 brands. METT Social Living is a refined, elegant and laid-back collection of lifestyle hotels & resorts dotted around unique locations. With a discreet service style without frills or fuss along with social dining and lifestyle entertainment at the heart of the experience, the brand is conceived for the traveller of today looking for an ideal place to celebrate life.</p><p class=""x_MsoNormal"">&nbsp;</p><p class=""x_MsoNormal"">Now, we are hiring Sous Chef for our Breakfast Restaurant Anjel to join us in Bodrum.</p><p class=""x_MsoNormal"">&nbsp;</p><p class=""x_MsoNormal"">Core Activities</p><ul type=""disc""><li class=""x_MsoNormal"">To manage the preparation, presentation and service of food products, to ensure the highest quality at all times</li><li class=""x_MsoNormal"">To monitor and check guest satisfaction </li><li class=""x_MsoNormal"">Supervise and participate in all food preparation in his department as well as to oversee all intricacies for other kitchen sub-sections to which are delegated into his department</li><li class=""x_MsoNormal"">Check function sheets and daily menu items of the kitchen and sub sections to determine the variety and quantity of food to prepare</li><li class=""x_MsoNormal"">See that all food products prepared are done wholesome, clean appetizing and in attractive manner</li><li class=""x_MsoNormal"">To adhere and complies to hotel rules, kitchen policies and procedures [SOP, HACCP, BRAND VALUES) followed at all times</li><li class=""x_MsoNormal"">To control operating and merchandising costs </li><li class=""x_MsoNormal"">Implement a daily and monthly checklist for all kitchen departments.&nbsp; Ensure proper follow-up to attain maximum quality and efficiency.</li></ul><p><br></p><p class=""x_MsoNormal"">Competencies</p><p class=""x_x_x_x_x_MsoNormal""></p><ul type=""disc""><li class=""x_MsoNormal"">5 years of experience in a 5*hotel </li><li class=""x_MsoNormal"">Fluency in verbal and writing English is required </li><li class=""x_MsoNormal"">Guest service and detail oriented </li><li class=""x_MsoNormal"">People management, fostering teamwork, and giving feedback</li><li class=""x_MsoNormal"">Advanced computer skills including Microsoft Office </li><li class=""x_MsoNormal"">Clear verbal communication to subordinates and superiors </li><li class=""x_MsoNormal"">Self-motivated, high energy level, multi-tasking skills </li><li class=""x_MsoNormal"">Able to develop policies and procedures </li></ul>",Aşçılık
3412185,Şef Garson,"<p>VELOUR RESORT RESTAURANT & SPA EKİBİMİZ İÇİN;</p><p>-GENEL İŞLEYİŞ DÜZENİ BİLGİSİNE SAHİP</p><p>-GIDA GÜVENLİĞİ VE HİJYEN KURALLARINA HAKİM</p><p>-KİŞİSEL BAKIMINA ÖZEN GÖSTEREN, DİKSİYON VE İLETİŞİM KONUSUNDA İYİ,DİNAMİK</p><p>-HİZMET SUNUM KALİTESİNE ÖNEM VEREN,SORUMLULUK DUYGUSU YÜKSEK, TEMSİL YETENEĞİ KUVVETLİ VE MİSAFİR MEMNUNİYETİ BİLİNCİNE SAHİP EKİP ARKADAŞI ARAMAKTAYIZ.</p><p><br></p>",Restoran Hizmetleri
3412165,Aşçı,"<p>Merkez ofisi İstanbul Levent ve üretim kampüsü Şanlıurfa’da bulunan Dollvet; 36.000 metrekarelik bir kampüs içerisinde 15.000 metrekare kapalı alana sahip tesislerinde aşı ve test kiti üretim faaliyetlerine devam eden bir biyoteknoloji merkezidir. İstanbul, Levent'te bulunan Merkez ofisimizde görev almak üzere;&nbsp;&nbsp;</p><p><br></p><p>GENEL NİTELİKLER VE İŞ TANIMI</p><ul><li>Tercihen Meslek Lisesi veya MYO Aşçılık bölümlerinden mezun (Gastronomi Bölümü / Mutfak Sanatları Akademisi mezunları tercih sebebidir),</li><li>Mesleki eğitim diploması, hijyen eğitimi sertifikası vb. belge sahibi olan, </li><li>Mesleğinde en az 5 yıl deneyimli, </li><li>Gıda güvenliği ve hijyen kurallarına dikkat eden, temiz ve titiz çalışan, </li><li>Türk mutfağına hakim, </li><li>Kişisel bakımına özen gösteren, dış görünümüne önem veren, </li><li>El lezzeti,&nbsp;değişik lezzetlerle fark yaratmayı bilen, </li><li>İletişimi güçlü, ekip çalışmasına yatkın,&nbsp;çalışma arkadaşları aramaktayız. </li></ul><p><br></p><p>İŞ TANIMI</p><ul><li>Personel ve misafirlerimize sunulacak yiyecek ve içecekleri mönü listelerine uygun olarak servise hazırlamak,</li><li>İş sağlığı ve güvenliği, gıda güvenliği, kalite ve hijyen standartlarına uymak,</li><li>Yöneticisine düzenli olarak geri bildirimde bulunmak, olası problemleri ve aksaklıkları önceden görerek gerekli aksiyonu almak ve bilgilendirmeleri yapmak,</li><li>Gerekli malzemelerin prosedür ve standartlara uygun olarak depolamasını sağlamak.</li></ul>",Aşçılık
3412146,Çay Servis ve Temizlik Elemanı,"<p>İŞ TANIMI</p><p>Otomotiv&nbsp; sektöründe, 12 yıldır faaliyet gösteren şirketimizin Sancaktepe'de bulunan&nbsp; merkezine;<br></p><ul><li>Ofis içerisindeki çay servisi ve temizlik hizmetlerini yürütebilecek,</li><li>Firmamıza gelen misafirlere çay/kahve hizmeti verebilecek,</li><li>Ortak alanların temizlik ve düzenini sağlayabilecek,<br></li><li>Temizlik ve mutfak malzemelerinde takip edip, sipariş listesi oluşturabilecek,</li></ul><p>GENEL NİTELİKLER</p><ul><li>Benzer bir pozisyonda profesyonel olarak en az 3 sene görev almış,</li><li>Diksiyon ve hitabet konusunda kendini iyi ifade edebilen,</li><li>İnsan ilişkilerinde başarılı ve misafir memnuniyetini sağlayabillen,</li><li>Öz bakım ve dış görüntüsünde özen gösteren,</li><li>Genel Hijyen kurallarına göre temizlik ve servis hizmetlerini yürüten,</li><li>Ortak alanların temizlik ve düzenini sağlayabilecek,</li><li>Anadolu yakasında ikamet eden,</li></ul><p><strong><u>Çay Servisi ve Temizlik Personeli alınacaktır.</u></strong></p>",Yiyecek / İçecek Servisi
3412145,Çay Servis ve Temizlik Elemanı,"<p>İŞ TANIMI</p><p>Otomotiv&nbsp; sektöründe, 12 yıldır faaliyet gösteren şirketimizin Sancaktepe'de bulunan&nbsp; merkezine;<br></p><ul><li>Ofis içerisindeki çay servisi ve temizlik hizmetlerini yürütebilecek,</li><li>Firmamıza gelen misafirlere çay/kahve hizmeti verebilecek,</li><li>Ortak alanların temizlik ve düzenini sağlayabilecek,<br></li><li>Temizlik ve mutfak malzemelerinde takip edip, sipariş listesi oluşturabilecek,</li></ul><p>GENEL NİTELİKLER</p><ul><li>Benzer bir pozisyonda profesyonel olarak en az 3 sene görev almış,</li><li>Diksiyon ve hitabet konusunda kendini iyi ifade edebilen,</li><li>İnsan ilişkilerinde başarılı ve misafir memnuniyetini sağlayabillen,</li><li>Öz bakım ve dış görüntüsünde özen gösteren,</li><li>Genel Hijyen kurallarına göre temizlik ve servis hizmetlerini yürüten,</li><li>Ortak alanların temizlik ve düzenini sağlayabilecek,</li><li>Anadolu yakasında ikamet eden,</li></ul><p><strong><u>Çay Servisi ve Temizlik Personeli alınacaktır.</u></strong></p>",Yiyecek / İçecek Servisi
3412143,Yacht Butler,"<p class=""x_x_x_x_x_x_x_x_x_MsoNormal"">QUALIFICATIONS AND JOB DESCRIPTION</p><p class=""x_x_x_x_x_x_x_x_x_MsoNormal"">We are looking for a qualified ""Butler"" for D Maris Bay.<br>The ideal candidate should have;<br></p><ul type=""disc""><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">English fluent, all other languages beneficial,</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Must have a valid Seaman’s book,</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">MICROS skilled,</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Problem solving and decision making,</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Customer service orientation,</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Adaptability/ flexibility.</li></ul><p class=""x_x_x_x_x_x_x_x_x_MsoNormal""><br></p><p class=""x_x_x_x_x_x_x_x_x_MsoNormal"">JOB DESCRIPTION<br></p><ul type=""disc""><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Supporting a healthy atmosphere for employees for maximum efficiency and job satisfaction.</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Ensuring area set up is ready for the yacht service in timely and detailed fashion and is according to standards and checklists.</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Ensuring all equipment is used correctly and safely and cleaned after each use; yachts back of house, stores and stations are maintained in a clean and tidy manner. Maintaining hygiene and sanitation of all areas of yachts.</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Welcoming the guest, regularly checking on their satisfaction and leading farewell.</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Paying attention to and handling special guest needs and requests, anticipating and handling guest needs.</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Ensuring speedy, polite, guest friendly service at all times, aimed at providing elegant service to Hotel standards always in accordance with pre-agreed service sequences.</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Liaising during service in a professional manner with the kitchen, to achieve a timely delivery of food to the guest and effective communications at all times.</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Participate in hotel training programs.</li><li class=""x_x_x_x_x_x_x_x_x_MsoNormal"">Perform related duties and special projects as assigned.</li><li>Maintain professional image while on duty with well grooming hygiene and prescribed uniform.</li></ul>",Belirsiz
3412139,Temizlik Görevlisi,"<p>Taksim'deki *S Class* belgeli otelimizin Housekeeping departmanına, aşağıdaki özelliklere sahip Temizlik Görevlisi&nbsp; aramaktayız.<br>&nbsp;<br><u>Genel Nitelikler:</u>&nbsp;</p><ul><li><strong>İlköğretim veya tercihen lise mezunu,</strong> </li><li><strong>Alanında tecrübe sahibi</strong> </li><li><strong>Genel temizlik ve oda temizliği konusunda tecrübeli ve bilgili,</strong></li><li><strong>Hijyen standartları ve kalite beklentisine uyum sağlayabilecek,</strong></li><li><strong>Güvenilir ve güler yüzlü,</strong> </li><li><strong>Misafir memnuniyeti odaklı,</strong> </li><li><strong>Titiz, ayrıntılara önem veren,</strong> </li><li><strong>Takım çalışmasına yatkın,</strong> </li><li><strong>Kişisel bakımına özen gösteren</strong></li><li><strong>Güvenli turizm sertifikasına sahip otelimizin kurallarına uyum sağlayabilecek</strong></li></ul><p>&nbsp;</p><br><br><h3>İŞ TANIMI</h3><p><strong>Taksim'de bulunan otelimizde görev almak üzere "" Temizlik Görevlisi ""&nbsp; arkadaşlar arıyoruz.</strong></p>",Temizlik Hizmetleri
3412123,Barista,"<p>Kahve yapma becerilerine sahip, nitelikli kahve hakkında fazlasını öğrenmeye hevesli, çift vardiya çalışma saatlerine uyumlu baristalar aranmaktadır. 21-28 yaşları arasında olmanız tercihen firmamız için aranan bir kriterdir.</p>",Restoran Hizmetleri
3412117,Aşçı Yardımcısı,<p>Bodrum merkezde bulunan ızgara kebap restaurantımıza tecrübeli aşçı yardımcısı ihtiyacımız vardır. Yatacak yer yeme içme işletmeye aittir</p>,Aşçılık
3412113,Çay Servis ve Temizlik Elemanı,"<p class=""x_x_MsoNormal"">Dağ Holding'in Tual Gölyaka Satış Ofisimizde çalışacak&nbsp;<strong>"" Çay Servisi ve Temizlik Elemanı ""</strong>&nbsp;arayışımız bulunmaktadır. Pozisyon ile ilgili uygun adayların taşıması gereken özellikler aşağıda yer almaktadır</p><ul color="""" color=""""><li>En az 3 yıl çay, kahve servisi yapmış,</li><li>Bahçeşehir Satış Ofisine yakın oturan veya toplu ulaşımla gelebilecek&nbsp;</li><li>Ofis temizliklerinin ve belirlenen alanların temizliğini yapabilecek,</li><li>İletişim becerisi gelişmiş, güler yüzlü, nezaket ve sunum kurallarına dikkat eden,</li><li>Hijyen kurallarına dikkat eden,</li><li>Haftanın 6 günü çalışabilecek ve esnek çalışma saatlerine uyum sağlayabilecek,</li></ul>",Yiyecek / İçecek Servisi
3412095,Masöz,"<p>Başyazıcı Grubu Ommer Hotel bünyesinde çalışacak;</p><p>-Tercihen yabancı uyruklu,</p><p>-Masaj sertfikaları olan kadın masöz personel alınacaktır.</p><p><br></p>",Masaj / Spa Hizmetleri
3412093,Aşçı Yardımcısı,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal"">Ankara Çukurambarda bulunan&nbsp; 5 yıldızlı otelimizin mutfak&nbsp;bölümde&nbsp; Açık büfe ve&nbsp; A la Carte servislerinde sunulan yiyeceklerin kalite, lezzet ve hizmet standartlarında&nbsp; hazırlanmasını sağlamak üzere,&nbsp;&nbsp;konusunda deneyimli&nbsp; &nbsp;AŞÇI YARDIMCISI takım arkadaşları alınacaktır.</p><p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal"">GENEL YETENEKLER</p><p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;Meslek lisesi Gastronomi veya Aşçılık&nbsp; bölümünden mezun / MYO bölümlerinden&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; mezun tercihen,</p><p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;Konusunda an az 3 yıl deneyimli,</p><p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;Misafir memnuniyeti&nbsp; ve kaliteli hizmet odaklı çalışmayı ilke edinmiş,</p><p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;Hijyen kuralları ve kalite standartları kuralları hakkında bilgi sahibi ve temizliğe özen&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;gösteren,</p><p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;Genç, dinamik, gelişime ve yeniliğe açık,</p><p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;Yoğun iş temposuna ve vardiyalı çalışma sistemine uyum sağlayabilecek</p>",Aşçılık
3412087,Kahvaltı Şefi,"<p class=""x_x_x_x_x_x_x_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxmsonormal"">Özyer Group, 1948’den günümüze turizm, kuyum, inşaat ve enerji alanlarında yatırım faaliyetlerini sürdüren, bir çatı grup şirketidir.</p><p>Grubumuzun üstün hizmet kalitesi ve sürekli gelişim ilkeleri çerçevesinde, Faralya Kabak Koyu'nda bulunan,&nbsp;<strong>Sea Valley Bungalows İşletmemizde&nbsp;</strong>görevlendirmek&nbsp; üzere aşağıdaki niteliklere sahip&nbsp;&nbsp;<strong>‘Kahvaltı Şefi’</strong>&nbsp;arayışımız bulunmaktadır.</p><p><br></p><p class=""x_x_x_x_x_x_x_MsoNormal""><strong>&nbsp; Genel Nitelikler</strong></p><ul><li>En az lise, tercihen üniversitelerin Turizm ve Otelcilik fakültelerinden mezun,</li><li>Alanında min. 3 yıl deneyimli,</li><li>Mesleki yeterlilik belgesine sahip,</li><li>Kalite standartları, gıda güvenliği ve hijyen kurallarına hakim,</li><li>Misafir memnuniyetini ön planda tutabilecek, çözüm odaklı,</li><li>Sorumluluk bilinci yüksek, dikkatli ve titiz,</li><li>Güler yüzlü, iletişimi kuvvetli,</li><li>Kişisel bakımına ve hijyenine dikkat eden, prezentabl,</li><li>Yoğun iş temposuna uyum sağlayabilecek,</li><li>Lojmanda ikamet edebilecek.</li></ul><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><br></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><strong>&nbsp; &nbsp;İş Tanımı</strong></p><ul type=""disc""><li class=""x_x_x_x_x_x_x_MsoNormal"">Belirlenen standartlar dâhilinde profesyonel ve etkin bir hizmet verilmesini sağlamak,</li><li class=""x_x_x_x_x_x_x_MsoNormal"">Görevlendirildiği alanlarda misafirlerin ihtiyaç ve taleplerini doğru bir şekilde ve zamanında karşılamak,</li><li class=""x_x_x_x_x_x_x_MsoNormal"">Ast ve üstleri ile koordineli bir şekilde çalışarak, organizasyonun eksiksiz ilerlemesini desteklemek,</li><li class=""x_x_x_x_x_x_x_MsoNormal"">İlgili çalışma alanlarının, mutfak eşyalarının ve ekipmanın temizliğini ve bakımını sağlamak,</li><li class=""x_x_x_x_x_x_x_MsoNormal"">Gıda Güvenlik Sisteminin yürütülmesi için gerekli çalışmalara katılmak,</li><li class=""x_x_x_x_x_x_x_MsoNormal"">Mutfak politikalarını, prosedürlerini ve hizmet standartlarını takip etmek.</li></ul><p class=""x_x_x_x_x_x_x_MsoListParagraph"">&nbsp;</p>",Aşçılık
